policy_id,policy_name,policy_type,policy_start_date,policy_duration_months,policy_budget_crore,country,state,population_million,urbanization_rate,gdp_growth_before,gdp_growth_after,inflation_rate_before,inflation_rate_after,unemployment_rate_before,unemployment_rate_after,poverty_rate_before,poverty_rate_after,health_index_before,health_index_after,education_index_before,education_index_after,overall_impact_score,policy_success_level
577,0,4,1105,14,20392.19,0,3,71.64,87.0,2.88,4.92,5.67,4.5,7.77,7.28,15.98,12.77,61.14,70.5,54.36,55.54,45.02,0
578,8,2,988,52,19156.01,0,3,33.54,61.98,2.28,2.39,3.06,4.21,6.23,5.53,33.8,26.29,60.09,66.71,65.31,72.92,43.33,0
579,9,4,895,10,6944.66,0,4,85.69,81.68,2.44,2.0,4.07,2.36,5.88,5.49,18.11,16.64,67.5,71.98,53.2,56.65,9.21,1
580,0,4,1039,42,14539.65,0,3,37.42,52.37,5.66,6.59,3.39,2.51,4.25,1.92,27.82,22.64,43.04,50.63,52.02,56.79,47.94,0
581,0,4,361,25,32817.21,0,4,30.53,52.59,4.83,6.02,5.31,3.5,6.05,4.85,28.54,24.38,58.57,57.74,45.11,53.29,29.83,2
582,11,1,15,16,27519.77,0,0,74.11,64.21,4.44,5.36,6.79,7.06,9.72,9.49,32.8,27.27,64.54,65.68,62.59,71.06,36.01,2
583,10,1,942,23,10801.94,0,4,60.99,33.61,3.18,3.1,6.62,5.87,7.0,6.54,11.6,11.45,67.35,66.34,66.97,69.76,1.54,1
584,7,2,800,25,47676.77,0,0,33.04,66.31,4.25,5.7,4.97,5.63,5.87,6.33,27.82,24.0,42.48,51.83,67.85,76.08,44.79,0
585,10,1,904,28,45044.39,0,3,29.64,57.58,2.88,4.8,5.18,5.79,7.2,4.44,13.25,10.1,59.75,63.14,56.33,59.67,51.76,0
586,4,0,1155,6,14604.96,0,2,10.01,61.68,3.48,5.78,7.58,6.02,5.84,4.42,20.75,16.8,53.38,52.85,68.22,75.49,48.02,0
587,3,3,1203,34,49155.18,0,3,63.43,75.32,5.95,6.29,5.99,5.22,7.14,7.46,21.19,21.46,63.03,70.58,65.68,70.78,20.9,2
588,8,2,930,38,582.19,0,4,64.33,26.28,4.28,4.6,3.05,2.83,6.54,3.83,28.46,27.07,40.58,40.82,61.78,62.97,23.73,2
589,4,0,1017,13,26169.74,0,4,56.77,71.71,3.63,5.86,6.56,6.09,4.75,2.81,17.53,16.1,66.96,77.19,55.66,62.37,53.68,0
590,1,0,417,31,2034.36,0,1,26.31,82.43,5.26,7.52,5.74,4.78,4.08,2.14,12.79,12.25,48.37,53.69,62.54,71.96,49.21,0
591,10,1,581,48,4923.3,0,2,90.85,65.47,2.22,3.64,4.66,5.38,8.55,10.01,14.4,11.73,59.08,61.95,46.39,46.95,17.46,1
592,9,4,1265,48,32099.96,0,2,14.03,42.98,5.55,6.43,3.42,3.7,5.32,4.06,18.1,19.91,55.24,61.51,59.25,66.96,33.18,2
593,9,4,857,15,22500.17,0,2,101.79,66.37,5.82,7.37,6.45,6.61,8.12,8.36,21.01,17.25,54.75,66.16,53.78,56.81,46.08,0
594,2,3,1021,33,12479.06,0,1,101.23,66.36,4.22,4.75,7.9,8.0,5.23,6.59,23.27,20.98,51.5,59.54,70.67,77.8,19.32,1
595,7,2,439,27,6732.53,0,3,21.18,46.75,3.09,3.9,5.22,5.28,4.89,3.06,30.45,30.24,61.64,64.78,66.0,69.94,24.74,2
596,3,3,1059,44,38718.45,0,1,9.04,77.8,3.11,3.87,3.12,2.16,7.47,7.2,19.34,15.24,64.83,63.7,64.08,64.13,14.93,1
597,7,2,373,32,27639.79,0,0,101.34,74.21,1.85,4.25,7.49,7.92,9.5,7.64,30.14,24.37,69.52,73.76,58.24,67.91,61.8,3
598,11,1,975,31,20610.45,0,0,110.26,77.99,5.87,7.84,3.35,1.74,4.57,4.0,11.42,11.91,48.63,47.67,61.95,61.04,18.16,1
599,1,0,491,20,17787.74,0,0,23.68,47.29,4.64,4.26,3.13,3.63,7.59,4.73,13.38,5.51,41.58,45.88,54.88,58.02,37.34,2
600,2,3,999,22,25626.98,0,4,90.35,23.06,4.48,4.38,5.47,4.66,4.94,4.02,21.31,17.82,69.34,74.04,73.74,83.16,26.57,2
601,4,0,338,60,4690.38,0,1,11.84,74.68,2.77,4.64,6.43,7.47,6.35,7.58,18.99,12.18,68.85,67.21,46.58,45.9,25.92,2
602,1,0,607,40,34821.36,0,1,55.18,54.35,1.65,3.63,7.22,6.4,8.42,9.54,13.46,9.62,67.08,65.37,60.34,66.25,24.47,2
603,7,2,917,14,28325.02,0,1,101.06,86.83,2.17,2.45,3.78,2.91,6.06,7.02,14.98,8.41,53.15,52.05,69.46,72.22,12.92,1
604,0,4,230,47,43592.28,0,1,73.69,80.13,5.22,4.94,7.86,6.34,6.69,6.58,32.15,26.39,60.39,63.47,55.82,63.13,22.68,2
605,4,0,1290,15,43042.4,0,4,75.59,35.12,2.86,4.1,4.66,2.85,5.35,5.66,20.39,12.73,52.93,54.72,48.97,51.63,35.23,2
606,8,2,1083,54,8442.97,0,0,38.13,77.97,1.53,1.45,7.28,5.9,6.33,7.61,33.76,34.51,67.3,68.29,72.18,78.43,1.79,1
607,8,2,471,46,45686.81,0,3,19.77,75.71,5.52,6.86,5.4,5.32,4.57,3.57,19.11,19.26,69.75,77.5,67.97,73.91,33.75,2
608,1,0,703,18,4171.63,0,3,87.64,52.22,4.32,6.37,3.3,3.19,5.07,3.46,19.04,11.48,54.81,62.2,67.97,67.45,52.64,0
609,9,4,685,16,7754.24,0,3,66.26,86.34,3.1,2.68,3.33,3.85,7.44,4.55,18.27,18.02,63.8,64.6,54.33,58.5,20.07,2
610,0,4,948,33,31247.29,0,2,44.59,51.26,5.54,7.25,7.83,7.7,8.66,9.65,18.26,14.5,60.34,68.93,46.36,49.72,36.71,2
611,5,3,941,17,38429.92,0,0,67.59,81.11,2.44,3.85,6.92,5.39,6.41,4.83,20.94,14.06,48.46,46.75,67.02,66.93,31.75,2
612,7,2,407,18,33201.72,0,4,107.96,56.5,5.78,5.52,6.97,5.97,6.99,6.68,33.9,32.71,55.84,59.77,60.68,66.55,11.98,1
613,11,1,22,11,35814.13,0,0,55.08,44.29,2.08,3.62,6.89,8.3,4.11,3.64,29.04,21.25,54.16,54.79,53.11,61.73,42.7,0
614,3,3,1170,17,48292.25,0,1,3.4,48.04,5.92,6.89,6.58,6.43,6.17,4.96,26.01,18.22,69.14,76.62,68.57,68.86,37.98,2
615,4,0,573,58,14769.31,0,3,50.93,81.78,3.6,5.9,4.28,2.76,9.69,7.78,33.38,28.79,41.35,43.23,46.32,50.88,45.4,0
616,10,1,447,49,9500.68,0,2,75.81,35.52,5.93,6.04,3.94,4.15,4.55,5.84,18.19,13.74,54.54,53.12,62.99,67.98,7.53,1
617,10,1,1027,51,8693.74,0,4,61.87,60.7,3.98,3.69,3.61,1.86,7.43,8.72,22.5,17.46,69.48,79.39,56.38,59.87,23.08,2
618,8,2,1083,13,26154.67,0,4,19.76,34.25,3.63,3.22,4.52,4.41,6.41,7.87,28.57,24.43,53.16,60.23,48.55,47.86,4.03,1
619,4,0,11,24,9028.51,0,3,21.62,35.28,3.68,4.41,4.18,4.88,6.94,6.56,24.19,22.92,40.79,50.84,69.34,70.46,30.38,2
620,10,1,975,31,47645.36,0,4,30.24,47.78,3.11,3.79,7.25,8.68,5.83,6.24,31.98,29.77,50.01,55.28,54.61,58.0,23.33,2
621,8,2,1097,21,40935.89,0,2,33.29,44.6,1.66,3.38,6.19,7.04,6.13,4.28,12.06,11.45,64.9,75.52,62.47,62.81,44.2,0
622,3,3,318,49,37104.18,0,4,45.02,30.79,5.58,7.25,5.31,6.48,6.65,5.15,23.12,18.47,54.35,53.39,51.33,59.85,40.93,0
623,1,0,392,29,49955.47,0,2,118.69,87.33,5.62,6.01,5.17,5.76,4.23,2.43,31.24,32.26,58.87,67.33,63.44,66.94,25.79,2
624,8,2,80,33,3134.94,0,1,69.11,69.01,2.31,4.31,7.9,8.35,5.14,2.71,12.88,7.95,52.17,52.85,61.6,68.86,50.03,0
625,11,1,744,57,5785.7,0,3,68.05,82.3,5.27,5.67,7.47,8.28,6.32,7.1,10.72,5.06,45.64,56.11,61.81,62.01,23.26,2
626,7,2,683,26,11016.66,0,3,61.45,25.58,2.3,2.81,4.06,4.1,8.86,9.4,19.38,20.29,51.03,59.05,65.11,71.46,22.36,2
627,5,3,774,6,40742.64,0,4,65.91,33.66,5.17,6.99,3.56,3.0,5.26,3.2,10.31,10.48,44.79,56.16,49.27,52.64,44.91,0
628,11,1,956,24,34280.9,0,1,119.29,80.6,4.59,7.05,6.0,4.87,4.62,4.08,23.54,25.01,56.16,67.42,45.82,45.46,39.78,2
629,5,3,383,13,43121.51,0,4,99.24,43.92,3.53,3.72,3.18,4.41,6.23,3.8,25.95,19.72,62.82,74.8,61.03,67.13,47.88,0
630,7,2,159,10,43606.29,0,3,56.54,44.05,4.71,7.19,3.12,3.64,7.18,5.82,34.68,33.81,68.8,78.71,46.47,54.0,56.69,0
631,3,3,1153,25,17798.87,0,4,117.72,64.15,5.01,5.07,3.79,5.25,4.34,1.52,26.28,22.56,45.75,43.92,47.97,52.22,22.45,2
632,7,2,687,47,16631.95,0,0,51.75,49.76,2.14,2.87,4.09,3.47,7.96,9.27,29.64,21.71,65.97,73.38,56.0,58.68,32.11,2
633,5,3,837,43,47130.03,0,1,100.39,40.07,2.9,3.29,4.39,4.62,5.75,6.69,10.44,7.43,57.24,63.13,53.48,54.85,11.34,1
634,9,4,397,11,20370.33,0,2,16.26,30.74,1.68,2.51,7.63,5.81,4.39,2.58,30.4,25.17,46.89,50.68,61.54,64.54,33.0,2
635,4,0,716,54,42978.43,0,3,107.81,77.07,5.38,7.49,4.66,3.2,5.35,6.62,21.48,17.25,50.5,56.31,51.64,59.13,38.89,2
636,4,0,428,9,4579.32,0,1,18.41,62.9,2.73,2.74,3.36,2.05,4.81,3.14,26.71,22.03,43.89,55.87,59.35,63.36,37.29,2
637,6,4,804,33,48709.75,0,3,87.04,56.41,5.86,5.57,4.4,3.52,9.15,6.48,10.01,7.59,48.67,51.23,74.33,82.49,32.23,2
638,6,4,1121,9,45579.85,0,3,38.65,40.18,3.12,3.43,4.16,5.26,4.41,2.29,23.27,16.97,53.72,55.95,64.76,70.79,35.73,2
639,10,1,402,19,12158.49,0,1,67.3,65.49,4.97,5.83,7.98,6.27,5.52,4.35,32.42,31.66,57.99,61.12,66.72,66.78,22.13,2
640,5,3,1180,38,34509.66,0,0,54.85,20.03,4.4,4.28,4.93,3.27,5.52,4.98,23.97,16.87,62.02,67.52,69.26,69.16,28.37,2
641,10,1,379,6,4717.47,0,3,108.22,36.89,5.71,7.27,6.59,4.87,4.61,4.82,32.45,32.42,60.09,63.81,73.1,82.91,29.5,2
642,8,2,894,47,13501.45,0,1,106.6,41.75,3.86,5.28,6.65,8.1,8.0,8.41,29.99,22.62,67.89,72.91,66.9,67.5,31.69,2
643,6,4,476,10,31886.01,0,3,53.05,37.38,3.87,5.03,5.52,6.9,8.44,7.99,34.3,30.7,50.89,59.74,50.47,59.92,40.81,0
644,4,0,596,56,9829.83,0,4,71.22,67.16,2.18,3.49,4.05,3.52,6.27,3.52,34.9,28.5,48.34,46.79,52.8,54.65,38.81,2
645,9,4,801,29,9203.79,0,0,15.02,21.23,2.65,2.7,7.96,8.29,6.8,4.42,25.49,17.91,46.58,51.66,50.65,58.17,41.22,0
646,0,4,614,34,22907.64,0,2,108.93,43.76,4.49,4.68,6.67,4.79,4.46,3.18,20.14,18.35,65.91,71.76,65.37,70.14,25.88,2
647,6,4,160,18,36887.51,0,2,90.22,30.71,5.32,4.92,4.44,2.47,6.58,5.84,27.85,28.69,43.2,49.91,46.42,50.03,17.34,1
648,2,3,1136,11,25596.66,0,1,70.4,25.06,3.23,4.95,5.36,5.27,4.44,4.44,14.98,13.55,49.77,53.87,66.83,67.79,24.14,2
649,8,2,895,7,44183.96,0,4,56.31,38.98,3.04,4.69,7.39,6.85,4.34,3.55,10.31,11.1,47.09,46.49,46.86,47.5,15.82,1
650,7,2,1144,34,39503.79,0,3,31.98,37.92,5.97,6.24,7.99,7.68,7.16,7.67,28.98,26.97,55.57,53.69,56.15,58.39,3.5,1
651,4,0,1281,21,40543.16,0,4,6.71,86.55,4.14,4.2,5.02,5.6,4.07,4.34,27.67,20.33,61.64,71.11,52.51,59.54,41.04,0
652,2,3,912,26,31268.86,0,1,102.91,20.71,1.91,1.52,4.79,5.67,5.3,2.52,31.04,32.53,46.21,50.04,46.92,48.54,18.18,1
653,8,2,15,32,46400.41,0,0,81.53,77.66,1.63,1.85,6.42,4.7,9.25,10.22,29.9,27.08,42.84,46.5,59.67,68.61,15.87,1
654,6,4,117,10,4452.7,0,1,43.82,89.68,5.62,6.72,5.0,6.44,9.73,10.15,27.38,27.07,41.12,44.54,62.18,70.44,19.78,1
655,7,2,205,8,37226.33,0,4,17.26,64.31,5.26,4.99,5.62,4.7,9.37,7.76,22.25,19.16,50.17,49.73,48.6,54.79,18.12,1
656,5,3,1211,42,18038.54,0,4,45.68,55.74,5.18,5.55,6.96,7.3,8.51,8.56,21.04,16.37,65.17,71.65,63.59,71.42,32.86,2
657,5,3,1187,38,3564.37,0,3,101.62,45.49,4.08,5.61,5.3,5.82,9.91,7.87,29.0,22.13,64.11,71.8,50.74,59.34,58.46,0
658,2,3,170,22,20403.1,0,2,2.24,40.08,4.61,4.99,5.66,4.51,6.33,5.41,22.35,19.93,56.29,60.7,47.39,55.57,32.97,2
659,7,2,972,29,19734.64,0,0,89.81,68.43,2.0,3.69,3.17,1.67,6.18,4.51,10.34,6.97,63.03,68.39,64.61,67.02,43.24,0
660,8,2,505,12,20442.1,0,4,74.99,20.09,5.04,6.46,6.49,6.29,6.07,6.09,22.38,20.96,42.87,53.15,48.38,58.1,44.18,0
661,3,3,1079,54,921.32,0,1,22.64,54.17,4.07,6.48,5.71,6.23,8.87,6.48,18.89,13.98,56.32,57.91,64.53,70.71,51.48,0
662,8,2,1244,31,12805.26,0,3,24.41,60.79,1.77,2.18,3.1,3.57,7.61,8.17,32.33,24.96,56.25,54.52,49.38,58.87,22.41,2
663,8,2,1056,39,19089.31,0,2,22.37,23.18,5.57,6.83,5.94,7.38,6.9,3.96,18.05,18.65,57.3,64.0,52.36,60.46,49.13,0
664,9,4,533,11,21135.58,0,4,107.46,29.29,3.82,5.67,7.24,5.38,9.9,8.99,13.03,12.25,59.82,60.69,51.43,57.02,28.43,2
665,6,4,1230,38,43375.99,0,3,40.97,37.6,1.59,2.19,4.04,3.43,4.04,3.77,13.27,15.13,65.55,69.53,48.74,50.78,16.62,1
666,11,1,457,8,49068.13,0,0,6.38,77.8,2.86,4.31,6.88,5.1,4.93,4.93,27.99,24.75,56.7,65.33,72.01,74.82,42.25,0
667,9,4,1149,30,1674.01,0,0,115.83,81.21,2.89,4.62,5.64,5.9,7.34,4.73,22.03,16.18,52.2,50.72,74.39,74.33,42.51,0
668,4,0,611,29,20610.94,0,1,21.67,84.48,3.56,4.65,7.23,8.31,8.3,5.93,31.11,24.25,58.03,64.74,57.34,64.75,51.86,0
669,8,2,499,29,48101.02,0,4,100.05,25.14,2.22,3.58,5.83,6.98,8.55,6.97,18.65,17.66,59.58,61.24,67.78,68.77,27.72,2
670,4,0,1164,27,32371.96,0,3,91.42,32.88,4.93,6.79,7.72,5.84,4.07,1.38,33.53,31.87,47.15,47.73,50.23,56.95,39.35,2
671,3,3,929,27,23674.77,0,3,80.07,26.97,2.21,1.99,3.71,2.6,4.44,5.05,25.98,20.16,61.39,62.6,72.07,71.16,9.6,1
672,1,0,243,8,28906.37,0,2,3.95,69.76,5.54,6.33,6.42,4.79,9.04,10.45,15.62,11.7,65.75,63.75,70.8,70.87,2.26,1
673,8,2,394,6,43908.26,0,4,89.52,66.25,5.58,6.55,3.72,2.61,6.61,6.83,34.48,34.9,44.03,47.88,62.45,67.59,16.02,1
674,9,4,909,52,2789.41,0,4,86.74,71.21,4.03,5.26,5.16,3.45,7.56,6.31,30.3,26.56,52.09,58.68,57.09,61.79,41.27,0
675,8,2,1015,37,1241.1,0,1,102.08,28.33,1.53,3.34,3.91,3.68,5.19,2.96,32.18,31.26,65.13,71.02,49.45,54.35,50.43,0
676,11,1,1178,16,22352.95,0,4,78.04,47.82,2.47,4.13,6.9,7.03,4.73,3.32,26.73,23.81,69.04,74.25,71.2,81.02,44.73,0
677,4,0,59,48,6513.65,0,1,43.81,76.11,3.51,3.15,7.15,7.18,9.75,8.44,10.9,10.93,44.98,54.1,69.23,70.38,17.94,1
678,9,4,593,60,11794.06,0,1,89.92,67.12,4.24,4.74,7.09,6.56,8.96,7.32,13.85,5.96,50.02,49.61,74.18,81.15,33.03,2
679,11,1,481,31,17311.9,0,1,70.95,36.12,2.59,2.46,4.43,3.61,9.47,8.57,27.36,20.01,55.67,58.25,64.54,69.05,31.07,2
680,11,1,65,40,12585.37,0,3,18.68,87.49,3.02,4.53,6.64,4.74,4.45,2.62,16.41,8.5,66.72,74.29,65.74,70.41,57.0,0
681,8,2,66,34,7756.87,0,3,108.8,51.18,3.47,5.36,7.88,7.72,7.81,8.35,20.6,19.49,46.66,56.13,67.52,68.93,37.4,2
682,1,0,1242,33,24256.16,0,3,46.75,46.32,4.43,5.13,4.76,6.08,6.88,5.05,15.21,8.51,50.57,57.53,70.71,72.57,44.16,0
683,6,4,862,40,10090.43,0,4,10.41,37.43,5.99,7.95,6.04,5.9,7.13,8.03,27.39,23.75,43.19,49.8,62.5,61.52,30.26,2
684,2,3,1257,37,18067.93,0,0,26.3,55.54,3.06,4.83,4.8,3.65,7.26,8.68,23.89,17.99,54.35,56.64,50.94,56.99,29.61,2
685,4,0,139,9,49004.27,0,3,77.06,25.13,4.15,4.39,7.03,8.19,7.15,7.98,15.04,14.76,52.17,62.38,67.15,74.71,18.36,1
686,7,2,490,56,33101.64,0,3,47.3,71.15,4.0,3.98,3.66,2.7,7.49,5.66,21.93,17.84,50.93,55.08,54.53,54.72,27.43,2
687,6,4,992,22,22070.18,0,4,99.08,57.87,5.82,7.45,3.78,4.95,4.02,3.84,17.2,10.35,67.21,66.1,49.89,57.12,36.81,2
688,2,3,557,33,25697.55,0,0,64.21,46.97,1.52,1.67,4.73,4.17,6.45,6.75,33.72,32.87,69.77,72.51,73.7,74.57,7.59,1
689,2,3,362,29,26806.45,0,4,26.38,64.31,3.43,4.5,5.33,3.92,8.05,6.71,15.24,14.8,49.45,60.54,46.95,46.76,31.79,2
690,10,1,771,49,43976.65,0,0,12.15,89.36,4.33,6.08,6.48,5.89,7.06,5.91,12.81,5.94,68.4,72.94,61.09,64.28,44.23,0
691,8,2,870,43,33031.31,0,1,95.92,83.25,5.74,6.5,6.82,5.57,6.4,5.17,16.5,13.46,61.24,65.33,54.62,56.91,28.59,2
692,0,4,1044,58,34782.75,0,4,64.29,77.28,5.32,5.3,3.36,3.74,6.45,7.13,12.78,8.11,43.24,43.86,60.3,60.88,6.98,1
693,8,2,594,49,3298.82,0,0,31.21,62.8,3.99,3.96,4.87,4.36,6.8,3.96,33.76,31.56,53.94,63.04,55.07,64.72,40.1,0
694,9,4,107,54,23479.58,0,2,19.47,47.29,3.4,4.48,7.83,8.41,5.4,4.39,20.15,19.3,63.97,69.12,71.85,75.07,28.22,2
695,1,0,312,47,25869.78,0,2,78.34,23.92,3.24,4.5,6.14,6.14,7.21,7.81,14.03,15.92,62.34,64.13,58.04,64.23,19.23,1
696,11,1,462,26,36671.84,0,1,63.14,77.12,2.5,2.22,5.08,5.63,7.99,6.52,27.55,27.36,61.8,69.59,46.01,48.81,24.58,2
697,11,1,409,47,18910.93,0,3,69.38,53.51,5.27,5.02,4.08,5.54,8.03,8.43,23.31,18.46,48.82,53.48,67.3,70.52,19.87,1
698,10,1,261,53,19056.14,0,1,83.28,81.59,3.0,3.8,5.51,4.68,4.06,4.6,23.55,20.25,59.55,57.59,59.08,67.53,19.86,1
699,5,3,44,37,19792.93,0,0,7.52,65.46,4.55,4.65,4.39,4.87,7.02,7.64,17.82,14.07,50.52,52.92,60.9,61.9,13.32,1
700,1,0,675,51,15496.32,0,0,95.77,64.52,4.45,4.22,5.77,6.49,6.66,5.1,33.64,28.5,64.06,75.9,53.34,54.68,39.63,2
701,10,1,89,26,39401.81,0,3,7.45,79.1,4.09,6.43,7.21,7.89,7.34,4.34,15.37,8.03,46.88,58.26,61.57,68.32,77.99,3
702,5,3,22,18,35849.81,0,4,10.18,41.38,1.78,3.95,4.92,5.97,6.57,7.17,18.38,12.32,69.42,74.71,71.22,75.13,41.25,0
703,10,1,540,11,26714.72,0,2,39.9,49.92,5.95,6.17,7.28,5.38,8.23,5.76,23.01,22.73,66.33,71.86,54.69,62.84,29.65,2
704,5,3,779,49,44481.1,0,0,13.48,21.82,2.41,3.34,7.93,9.04,8.36,7.0,15.71,15.23,44.09,45.85,71.14,74.68,27.68,2
705,8,2,875,30,16230.48,0,1,68.95,75.02,4.02,3.6,6.56,5.7,6.09,5.3,26.32,22.65,42.96,46.09,68.14,70.6,14.09,1
706,1,0,186,26,28122.03,0,3,19.51,46.46,5.22,5.78,6.08,5.91,8.51,9.18,29.51,25.8,42.45,52.81,53.6,57.55,34.51,2
707,10,1,463,53,15161.4,0,2,105.61,23.5,1.62,2.62,4.37,2.53,6.8,4.28,24.06,16.6,60.41,66.05,69.81,73.37,53.31,0
708,6,4,83,15,8934.14,0,1,106.12,36.59,1.56,3.09,6.36,6.94,5.23,4.55,20.47,18.38,49.45,50.27,49.67,55.97,34.79,2
709,8,2,535,53,11740.36,0,3,104.07,62.0,2.46,4.7,3.92,2.86,8.29,8.76,26.75,25.75,60.92,64.23,56.84,65.13,32.06,2
710,4,0,122,57,7477.58,0,2,88.96,22.55,4.41,4.66,3.65,4.09,6.31,5.21,13.25,12.6,67.04,76.91,46.38,56.37,37.96,2
711,7,2,1210,18,28878.42,0,4,54.15,50.66,2.67,3.21,3.94,3.77,7.43,7.35,23.04,22.81,53.3,51.51,65.96,73.04,7.71,1
712,9,4,600,41,42570.75,0,2,75.29,20.36,2.17,2.27,7.38,6.28,8.87,10.05,20.39,14.05,61.45,61.48,61.75,71.29,22.22,2
713,10,1,966,24,39385.01,0,4,28.37,31.6,4.18,4.55,5.97,6.09,7.97,7.53,16.77,17.78,67.25,69.56,58.9,59.47,9.38,1
714,6,4,223,52,24177.36,0,3,89.72,57.04,5.34,7.78,3.8,3.82,8.78,9.17,13.78,10.69,67.46,68.86,48.96,51.93,36.95,2
715,8,2,290,8,6701.82,0,0,65.57,42.71,1.93,3.94,5.94,6.08,8.44,7.21,23.35,18.6,59.42,59.15,53.44,58.0,39.82,2
716,10,1,489,21,3888.51,0,4,19.4,66.94,5.09,5.44,4.03,2.06,6.93,7.32,21.76,20.77,69.88,71.55,58.27,66.86,19.73,1
717,9,4,414,52,49552.95,0,1,66.76,26.47,5.43,5.81,3.55,2.09,8.55,7.59,20.49,21.76,53.89,63.95,49.44,49.62,18.83,1
718,2,3,1035,9,7503.94,0,2,92.91,42.29,5.81,7.35,4.09,4.21,8.51,9.53,31.03,28.25,40.24,39.02,57.52,62.92,19.91,1
719,1,0,736,11,19114.43,0,1,91.21,75.91,1.78,4.27,6.1,5.54,4.53,3.3,26.45,26.48,62.09,64.29,68.99,71.46,41.07,0
720,6,4,6,53,34604.13,0,2,84.48,56.34,3.01,5.02,6.78,5.04,8.17,7.89,18.0,10.78,67.46,77.84,54.95,64.67,59.46,0
721,6,4,4,19,26612.2,0,2,84.27,76.19,5.8,6.68,5.31,5.49,6.82,7.16,21.0,13.94,44.43,42.92,65.02,66.06,15.57,1
722,3,3,1044,49,46212.65,0,0,96.07,73.44,2.93,3.21,7.99,6.53,5.48,2.87,14.43,15.99,64.77,73.83,63.8,71.95,33.07,2
723,6,4,134,11,45786.2,0,1,52.78,81.46,4.78,4.74,4.76,5.33,8.66,6.97,21.51,17.25,60.49,58.49,68.52,72.37,20.26,2
724,10,1,680,45,49270.8,0,4,117.29,78.09,2.57,4.47,5.66,6.26,5.87,5.96,33.19,31.08,49.61,56.35,63.48,70.43,36.3,2
725,11,1,969,14,49255.17,0,3,99.14,75.79,1.9,3.33,7.73,7.56,7.52,4.61,34.25,30.48,68.63,74.52,55.16,55.13,42.57,0
726,2,3,1124,36,19481.25,0,0,55.71,71.32,1.51,2.64,5.41,6.62,4.5,5.81,16.89,9.96,65.36,71.25,59.15,66.29,32.3,2
727,7,2,991,44,21563.81,0,4,10.12,85.52,3.8,3.84,5.44,6.15,5.57,4.47,22.62,17.85,45.99,51.26,62.66,71.66,30.42,2
728,5,3,749,57,39558.2,0,3,8.02,66.12,3.03,2.89,4.07,4.35,6.06,4.4,18.73,13.16,46.82,49.96,53.94,55.05,22.71,2
729,8,2,719,29,11674.68,0,3,103.53,89.49,4.88,6.0,5.68,7.09,4.27,4.27,30.4,27.94,43.5,54.74,49.5,55.09,43.43,0
730,11,1,140,19,45116.42,0,2,67.07,88.47,5.56,5.37,5.77,4.43,8.94,8.66,14.28,14.2,67.82,68.77,65.68,71.09,9.62,1
731,7,2,648,46,40498.92,0,3,27.12,31.39,5.25,4.83,6.3,6.87,7.81,7.66,25.79,22.6,64.88,69.5,47.2,51.93,14.74,1
732,9,4,398,58,28877.79,0,4,47.48,87.93,4.48,6.84,5.61,4.18,6.34,4.49,29.99,25.81,66.67,78.17,72.53,81.41,69.35,3
733,11,1,57,46,40760.96,0,3,23.72,58.63,5.67,7.52,6.7,7.73,7.97,7.85,22.04,15.61,66.78,71.41,59.09,60.58,44.23,0
734,4,0,2,22,14340.45,0,1,70.55,44.38,1.95,2.68,3.15,3.91,9.36,8.25,17.97,12.82,57.01,59.52,74.52,78.9,27.72,2
735,10,1,417,38,25267.84,0,4,119.7,74.88,2.81,5.2,6.88,7.04,4.94,2.68,30.79,31.29,45.56,48.72,65.43,66.41,36.94,2
736,9,4,657,39,37525.01,0,0,57.27,21.04,3.71,4.59,6.92,6.74,7.83,8.32,14.97,9.46,66.1,67.47,73.51,80.26,27.15,2
737,8,2,704,45,35426.33,0,1,110.26,66.18,4.59,5.36,7.86,7.43,5.77,3.92,33.1,26.08,60.5,70.35,48.28,50.05,43.59,0
738,10,1,404,43,26108.36,0,2,28.91,77.4,4.04,5.78,4.2,2.94,5.15,4.87,22.75,21.29,68.05,75.08,73.27,74.26,29.16,2
739,10,1,350,32,25067.51,0,4,64.59,74.11,4.02,6.51,6.28,7.42,9.24,7.19,15.18,14.05,47.35,51.97,70.26,78.84,51.76,0
740,7,2,573,55,12148.47,0,0,72.31,32.61,4.5,5.27,6.18,5.28,5.05,2.14,11.62,11.78,54.31,62.26,55.68,63.64,44.87,0
741,1,0,147,12,35366.59,0,0,7.13,76.42,4.48,6.7,5.9,6.57,7.99,9.13,33.84,26.89,50.89,59.18,52.37,53.43,40.34,0
742,11,1,703,22,27438.63,0,2,53.54,31.12,3.66,4.04,7.85,6.76,5.3,4.25,13.97,15.05,56.03,60.81,54.36,56.8,16.14,1
743,1,0,130,35,36537.01,0,3,78.94,72.4,5.76,7.29,5.28,4.99,7.12,6.97,14.08,12.92,64.13,74.31,60.04,69.22,45.33,0
744,0,4,1131,24,43585.52,0,1,48.57,57.58,2.11,2.88,3.74,2.35,9.12,9.94,34.94,28.83,45.22,47.91,53.7,58.2,22.69,2
745,8,2,225,55,10610.42,0,1,60.42,35.99,5.2,5.62,3.53,2.64,5.37,6.09,21.13,20.49,59.87,63.01,59.66,62.25,11.04,1
746,8,2,267,12,7900.44,0,2,67.59,38.42,2.18,3.6,6.03,6.09,7.52,7.87,12.84,12.49,60.41,61.18,51.87,53.02,15.91,1
